Age,ThirdPercentile,FifthPercentile,TenthPercentile,TwentyFifthPercentile,FiftiethPercentile,SeventyFifthPercentile,NinetiethPercentile,NinetyFifthPercentile,NinetySeventhPercentile,NinetyEigthPercentile
2,78.43754,79.25982,80.52476,82.63524,84.97556,87.31121,89.40951,90.66355,91.47729,92.2
3,86.36557,87.26379,88.6545,90.99891,93.63382,96.30029,98.72705,100.1915,101.1474,102.1
4,92.55748,93.52333,95.02528,97.57519,100.4681,103.4247,106.141,107.7919,108.8744,109.8
5,98.81735,99.85039,101.463,104.2182,107.3707,110.6222,113.6359,115.4802,116.6945,117.8
6,105.2323,106.3348,108.0599,111.0189,114.4226,117.9537,121.2452,123.2684,124.6042,126.4
7,111.3821,112.5616,114.4077,117.5754,121.221,125.0051,128.5345,130.7047,132.138,134.2
8,116.8555,118.1189,120.0935,123.4739,127.3522,131.364,135.093,137.3798,138.8876,140.5
9,121.4991,122.8555,124.9715,128.5831,132.7094,136.9585,140.8906,143.2937,144.8747,146.3
10,125.6144,127.094,129.3973,133.3147,137.7691,142.3324,146.5341,149.092,150.7707,151.8
11,130.2585,131.9218,134.4955,138.83,143.695,148.6111,153.079,155.7721,157.5288,159.9
12,136.8191,138.6058,141.3448,145.8893,150.8936,155.8529,160.2796,162.9129,164.6167,166.2
13,143.7584,145.4325,148.0002,152.2642,156.9644,161.627,165.7928,168.2723,169.8773,172.5
14,147.9026,149.4562,151.8494,155.8507,160.2997,164.7523,168.7626,171.1639,172.7239,175.2
15,149.6553,151.1754,153.5193,157.4443,161.8174,166.2029,170.1606,172.5337,174.0768,180.8
16,150.3823,151.9027,154.2457,158.1659,162.5287,166.899,170.8387,173.1992,174.7333,184.9
17,150.7289,152.2556,154.6067,158.5355,162.9013,167.2677,171.1981,173.5505,175.0783,188.1
18,150.92,152.4524,154.8107,158.7478,163.1172,167.4814,171.405,173.7513,175.2742,189.2
19,151.0356,152.5721,154.9357,158.8787,163.2504,167.6127,171.531,173.8725,175.3918,190.4
20,151.1112,152.6507,155.0181,158.9651,163.3383,167.6987,171.6129,173.9507,175.4671,191.2
