Age,ThirdPercentile,FifthPercentile,TenthPercentile,TwentyFifthPercentile,FiftiethPercentile,SeventyFifthPercentile,NinetiethPercentile,NinetyFifthPercentile,NinetySeventhPercentile,NinetyEigthPercentile
2,9.985668,10.21027,10.57373,11.23357,12.05504,12.98667,13.93766,14.56636,15.00156,15.3015912
3,11.38824,11.65542,12.09259,12.90222,13.94108,15.16452,16.46789,17.36244,17.99807,18.3580314
4,12.77432,13.09012,13.61116,14.59093,15.87824,17.44149,19.16858,20.39409,21.28616,21.7118832
5,14.34277,14.70924,15.31758,16.47471,18.02314,19.95048,22.14604,23.75024,24.94401,25.4428902
6,16.01186,16.43608,17.14327,18.49904,20.33636,22.66294,25.37145,27.39274,28.92162,29.5000524
7,17.72858,18.22805,19.063,20.67168,22.86804,25.67549,28.97979,31.47049,33.36833,34.0356966
8,19.54481,20.14535,21.15111,23.09446,25.75702,29.17046,33.19435,36.22699,38.53537,39.3060774
9,21.58837,22.31677,23.53813,25.90167,29.14291,33.29393,38.16762,41.81885,44.58226,45.4739052
10,23.99143,24.86516,26.33132,29.17072,33.06392,38.03878,43.85001,48.17501,51.42913,52.4577126
11,26.81859,27.83564,29.54321,32.8523,37.39089,43.18655,49.9428,54.95703,58.72013,59.8945326
12,30.0176,31.15094,33.05496,36.7495,41.82798,48.33396,55.95048,61.62701,65.90103,67.2190506
13,33.40617,34.60715,36.62688,40.55564,45.98369,52.99745,61.31281,67.59448,72.37633,73.8238566
14,36.70144,37.91342,39.95467,43.94012,49.49075,56.76423,65.57527,72.39275,77.68817,79.2419334
15,39.59012,40.76839,42.75627,46.65445,52.13568,59.44404,68.54877,75.82805,81.6483,83.281266
16,41.82734,42.95649,44.8643,48.61968,53.94544,61.16241,70.40499,78.05211,84.36639,86.0537178
17,43.33646,44.4355,46.29382,49.95916,55.18217,62.32761,71.63707,79.51506,86.16706,87.8904012
18,44.24715,45.3602,47.24158,50.95014,56.2297,63.4432,72.82563,80.75172,87.43462,89.1833124
19,44.79521,45.97009,47.9528,51.8472,57.35176,64.77838,74.23744,82.02139,88.42066,90.1890732
20,45.04655,46.28963,48.38346,52.47876,58.21897,65.85238,75.35165,82.95375,89.04485,90.825747
