Age,ThirdPercentile,FifthPercentile,TenthPercentile,TwentyFifthPercentile,FiftiethPercentile,SeventyFifthPercentile,NinetiethPercentile,NinetyFifthPercentile,NinetySeventhPercentile
2,79.91084,80.72977,81.99171,84.10289,86.4522,88.80525,90.92619,92.19688,93.02265
3,88.37864,89.20473,90.49789,92.71756,95.27359,97.9287,100.4072,101.9324,102.9402
4,94.59361,95.5807,97.10407,99.65875,102.5105,105.3759,107.9665,109.522,110.5342
5,100.3318,101.4523,103.1712,106.0265,109.1751,112.2998,115.0924,116.755,117.8314
6,106.1048,107.3099,109.1619,112.2469,115.6609,119.0611,122.1101,123.9297,125.1095
7,111.9459,113.1991,115.1356,118.3893,122.0305,125.6987,129.023,131.0226,132.3253
8,117.5,118.8053,120.8305,124.2562,128.1237,132.0559,135.6504,137.8267,139.2502
9,122.4034,123.7928,125.9501,129.6035,133.7345,137.9414,141.793,144.1278,145.656
10,126.6678,128.1625,130.4809,134.4008,138.8234,143.3168,147.4214,149.9053,151.5294
11,130.8127,132.399,134.8608,139.0262,143.7304,148.5147,152.8894,155.5386,157.2715
12,135.6621,137.3326,139.928,144.3277,149.3088,154.3881,159.0439,161.8686,163.7185
13,141.7345,143.5608,146.3813,151.1165,156.4099,161.7364,166.5581,169.4561,171.343
14,148.5284,150.5461,153.6181,158.6615,164.1418,169.5022,174.2313,177.0206,178.8165
15,154.6056,156.6566,159.7529,164.7713,170.1393,175.3105,179.8124,182.4429,184.127
16,158.845,160.7802,163.7104,168.4805,173.6101,178.5762,182.9179,185.4623,187.0941
17,161.2733,163.086,165.8491,170.3931,175.341,180.1896,184.4741,187.004,188.6338
18,162.5011,164.2424,166.9094,171.3282,176.185,180.9889,185.2692,187.812,189.456
19,163.0793,164.7915,167.4199,171.791,176.6179,181.4147,185.7073,188.2653,189.9224
20,163.3333,165.0389,167.6593,172.0227,176.8492,181.6538,185.9599,188.529,190.1943
