Age,ThirdPercentile,FifthPercentile,TenthPercentile,TwentyFifthPercentile,FiftiethPercentile,SeventyFifthPercentile,NinetiethPercentile,NinetyFifthPercentile,NinetySeventhPercentile,NinetyEigthPercentile
2,10.38209,10.64009,11.05266,11.78598,12.67076,13.63692,14.5834,15.18777,15.59648,15.9084096
3,11.81842,12.09962,12.55436,13.37875,14.40263,15.55987,16.73623,17.51093,18.0457,18.406614
4,13.29111,13.61006,14.13086,15.09163,16.31677,17.74767,19.25695,20.28339,21.00793,21.4280886
5,14.85692,15.23202,15.84814,16.99698,18.48592,20.26086,22.17744,23.50833,24.46169,24.9509238
6,16.5037,16.93704,17.65285,19.00147,20.7777,22.93978,25.33302,27.03308,28.27115,28.836573
7,18.25535,18.74211,19.55136,21.0946,23.16742,25.75894,28.72538,30.90178,32.52599,33.1765098
8,20.11467,20.66168,21.57637,23.34005,25.75257,28.84718,32.51025,35.28955,37.41935,38.167737
9,22.07685,22.70876,23.76955,25.82993,28.6813,32.39734,36.88596,40.36069,43.06589,43.9272078
10,24.19264,24.94392,26.20745,28.66894,32.08799,36.55851,41.96894,46.15753,49.41515,50.403453
11,26.59626,27.50031,29.02052,31.97868,36.07263,41.38377,47.72519,52.55602,56.26029,57.3854958
12,29.47257,30.55162,32.36224,35.86837,40.67444,46.81253,53.97661,59.30357,63.30853,64.5747006
13,32.96852,34.22353,36.32176,40.35506,45.81336,52.65558,60.448,66.10359,70.27738,71.6829276
14,37.07331,38.47571,40.81133,45.26849,51.23096,58.5908,66.81785,72.68681,76.9639,78.503178
15,41.52175,43.01506,45.49646,50.21378,56.49096,64.19328,72.75113,78.82659,83.24017,84.9049734
16,45.79301,47.31593,49.84727,54.66505,61.09537,69.03038,77.92233,84.29229,88.95303,90.7320906
17,49.28662,50.80971,53.34544,58.18918,64.69961,72.82297,82.06741,88.79528,93.77917,95.6547534
18,51.69086,53.2274,55.78731,60.68521,67.28993,75.57503,85.0764,92.04765,97.24564,99.1905528
19,53.21739,54.80066,57.43409,62.4568,69.19467,77.5858,87.12008,94.05261,99.18615,101.169873
20,54.00392,55.66071,58.41105,63.63611,70.59761,79.18111,88.80644,95.71431,100.7784,102.793968
